city,year,pop,%change
Cleveland,1960,876050,
Detroit,1960,1670144,
Milwaukee,1960,741324,
Philadelphia,1960,2002512,
St. Louis,1960,750026,
San Jose,1970,459913,
Dallas,1970,844401,
Indianapolis,1970,744624,
Los Angeles,1970,2816061,
New York,1970,7894862,
Oakland,1970,361561,
Phoenix,1970,581572,
San Antonio,1970,654153,
San Diego,1970,696796,
San Francisco,1970,715674,
Baltimore,1970,905759,
Boston,1970,641071,
Buffalo,1970,462768,
Chicago,1970,3366957,
Cincinnati,1970,452525,
Cleveland,1970,750903,
Detroit,1970,1514063,
Milwaukee,1970,717099,
Philadelphia,1970,1948609,
St. Louis,1970,622236,
San Jose,1980,629442,
Dallas,1980,904078,
Indianapolis,1980,700807,
Los Angeles,1980,2966850,
New York,1980,7071639,
Oakland,1980,339337,
Phoenix,1980,789704,
San Antonio,1980,785940,
San Diego,1980,875538,
San Francisco,1980,678974,
Baltimore,1980,786775,
Boston,1980,562994,
Buffalo,1980,357870,
Chicago,1980,3005072,
Cincinnati,1980,385460,
Cleveland,1980,573822,
Detroit,1980,1203368,
Milwaukee,1980,636212,
Philadelphia,1980,1688210,
St. Louis,1980,452801,
San Jose,1990,782248,
Dallas,1990,1006877,
Indianapolis,1990,731327,
Los Angeles,1990,3485398,
New York,1990,7322564,
Oakland,1990,372242,
Phoenix,1990,983403,
San Antonio,1990,935933,
San Diego,1990,1110549,
San Francisco,1990,723959,
Baltimore,1990,736014,
Boston,1990,574283,
Buffalo,1990,328123,
Chicago,1990,2783726,
Cincinnati,1990,364040,
Cleveland,1990,505616,
Detroit,1990,1027974,
Milwaukee,1990,628088,
Philadelphia,1990,1585577,
St. Louis,1990,396685,
San Jose,2000,894943,
Dallas,2000,1188580,
Indianapolis,2000,781926,
Los Angeles,2000,3694820,
New York,2000,8008288,
Oakland,2000,339434,
Phoenix,2000,1321045,
San Antonio,2000,1144646,
San Diego,2000,1223400,
San Francisco,2000,776733,
Baltimore,2000,651150,
Boston,2000,589141,
Buffalo,2000,292648,
Chicago,2000,2896016,
Cincinnati,2000,331285,
Cleveland,2000,478403,
Detroit,2000,951270,
Milwaukee,2000,596974,
Philadelphia,2000,1517550,
St. Louis,2000,348189,
San Jose,2010,945942,
Dallas,2010,1197816,
Indianapolis,2010,829852,
Los Angeles,2010,3792621,
New York,2010,8175133,
Oakland,2010,390724,
Phoenix,2010,1445632,
San Antonio,2010,1327407,
San Diego,2010,1307402,
San Francisco,2010,805235,
Baltimore,2010,620961,
Boston,2010,617594,
Buffalo,2010,261310,
Chicago,2010,2695598,
Cincinnati,2010,296945,
Cleveland,2010,396815,
Detroit,2010,713777,
Milwaukee,2010,594833,
Philadelphia,2010,1526006,
St. Louis,2010,319294,
